,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature
0,0.0,6.0,6.0,10.0,1.4041634300364332,1.4189944686429254,1.3463372236660958,1.4674582772475786,60.0,21.562339067459106,0.0
1,0.0,6.0,6.0,11.0,1.441677570843993,1.4076453309638017,1.5998532722010006,1.5287104931094846,60.0,25.260189056396484,0.0
2,0.0,6.0,6.0,6.0,1.3535178416610518,1.4155651668934013,1.420223155562447,1.4498313797746918,60.0,18.556471824645996,0.0
3,0.0,6.0,6.0,7.0,1.4394288785194513,1.4103032067747199,1.4628049912426788,1.5053431653159555,60.0,21.36032199859619,0.0
4,0.0,6.0,6.0,10.0,1.437911850611007,1.4074263315294662,1.465508925449634,1.5341672975182816,60.0,31.915583848953247,0.0
5,0.0,6.0,6.0,14.0,1.3947128373167643,1.4152010538944984,1.408052569038504,1.5068692956223244,60.0,42.19325804710388,0.0
6,0.0,6.0,6.0,13.0,1.4267142629597793,1.4118471427056223,1.4388650594904968,1.532300792392843,60.0,34.10551691055298,0.0
7,0.0,6.0,6.0,9.0,1.4722623415993894,1.4090304761203392,1.3624999999944079,1.5381611831364532,60.0,24.2798912525177,0.0
8,0.0,6.0,6.0,14.0,1.3527182962860835,1.4202805775752212,1.2757787845786561,1.4448428577649395,60.0,36.87385296821594,0.0
9,0.0,6.0,6.0,7.0,1.427760919658411,1.4208221671492585,1.31344223305321,1.5350168188496516,60.0,23.06389617919922,0.0
10,1.0,6.0,6.0,6.0,1.3985944849717185,1.41615819947289,1.3458729570859478,1.4674582772475786,60.0,21.427138090133667,0.0
11,1.0,6.0,6.0,15.0,1.4388912879979283,1.4040868470557124,1.5904786085900873,1.5287104931094846,60.0,38.17128014564514,0.0
12,1.0,6.0,6.0,6.0,1.3542736470043655,1.417434980578806,1.4200679823981004,1.4498313797746918,60.0,17.032921075820923,0.0
13,1.0,6.0,6.0,11.0,1.4378150313980582,1.4092356396153887,1.4615498808465743,1.505343165315955,60.0,32.51980400085449,0.0
14,1.0,6.0,6.0,8.0,1.4388639289745946,1.408377072637834,1.4671794660314057,1.5341672975182816,60.0,24.8614399433136,0.0
15,1.0,6.0,6.0,12.0,1.3966453699294632,1.41342606518259,1.4061106680649602,1.5068692956223237,60.0,36.84218502044678,0.0
