,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature
0,0.0,6.0,6.0,13.0,1.5183399403352313,1.4303784152783394,1.5341775940118183,1.5885580726573776,60.0,13.208773136138916,0.0
1,0.0,6.0,6.0,8.0,1.3943646865146715,1.4366716925056886,1.5468217791137955,1.5151245661693649,60.0,10.811228036880493,0.0
2,0.0,6.0,6.0,13.0,1.4394795910857656,1.4418274655169288,1.526323614841104,1.593879495280406,60.0,14.271350860595703,0.0
3,0.0,6.0,6.0,10.0,1.4648943777825734,1.4311573599805063,1.5521468695577418,1.5688029079534678,60.0,13.515126943588257,0.0
4,0.0,6.0,6.0,16.0,1.2696004352226575,1.449096582654306,1.530189404232786,1.410214756650664,60.0,16.78064799308777,0.0
5,0.0,6.0,6.0,7.0,1.3891519163004717,1.4422821897731202,1.4546260075412838,1.4101596446573306,60.0,8.443270921707153,0.0
6,0.0,6.0,6.0,11.0,1.424802670937291,1.445948091673902,1.4054225506117577,1.4729909896901603,60.0,13.922276973724365,0.0
7,0.0,6.0,6.0,7.0,1.3793489551122182,1.4449885271862397,1.48207817040365,1.4745928805663608,60.0,10.446177005767822,0.0
8,0.0,6.0,6.0,11.0,1.4593743257811802,1.4394250605601178,1.4556691152668462,1.5427490848551557,60.0,13.104218244552612,0.0
9,0.0,6.0,6.0,9.0,1.4957936607684112,1.4363249654018027,1.300958885233034,1.5944824190314952,60.0,11.528114318847656,0.0
10,1.0,6.0,6.0,11.0,1.5174369683843276,1.429603912667842,1.529898989474382,1.5885580726573778,60.0,11.918999195098877,0.0
11,1.0,6.0,6.0,10.0,1.389906874277626,1.4367779006721393,1.5481241188444457,1.5151245661693649,60.0,12.81414794921875,0.0
12,1.0,6.0,6.0,16.0,1.44033832424188,1.4361126093292833,1.515596008193764,1.593879495280406,60.0,15.879953145980835,0.0
13,1.0,6.0,6.0,11.0,1.4658406199135912,1.4291610425589814,1.5525434044149677,1.5688029079534673,60.0,13.409170866012573,0.0
14,1.0,6.0,6.0,9.0,1.2691602797653294,1.4498247575163836,1.5292620498388536,1.410214756650664,60.0,11.594000816345215,0.0
15,1.0,6.0,6.0,7.0,1.3850636399400083,1.4411186858792406,1.4514288949622773,1.4101596446573306,60.0,9.345935821533203,0.0
16,1.0,6.0,6.0,9.0,1.4276558933409076,1.4473941497204394,1.4066728704906812,1.4729909896901603,60.0,12.68423867225647,0.0
17,1.0,6.0,6.0,10.0,1.3785863731921415,1.4434916923912988,1.4802258943653455,1.4745928805663608,60.0,10.304130792617798,0.0
18,1.0,6.0,6.0,13.0,1.4519207145112523,1.4335621147540758,1.4689353118555977,1.5427490848551557,60.0,11.611191034317017,0.0
19,1.0,6.0,6.0,13.0,1.5115935036290822,1.4388585010678683,1.2940574604540311,1.5944824190314948,60.0,11.85359811782837,0.0
20,2.0,6.0,6.0,16.0,1.5163687219174533,1.4288275143183176,1.524688886855266,1.5885580726573778,60.0,13.79860806465149,0.0
21,2.0,6.0,6.0,12.0,1.394349899299276,1.4357115046487712,1.5461808368421168,1.5151245661693649,60.0,12.705195903778076,0.0
22,2.0,6.0,6.0,8.0,1.440086548783232,1.4361614629841946,1.5157262503922377,1.593879495280406,60.0,10.69891905784607,0.0
23,2.0,6.0,6.0,8.0,1.4676726604819357,1.4370498923694306,1.5552398579994666,1.5688029079534673,60.0,9.820620059967041,0.0
24,2.0,6.0,6.0,8.0,1.2711151573341821,1.4456059106378272,1.5315725828992073,1.4102147566506635,60.0,10.940062761306763,0.0
25,2.0,6.0,6.0,8.0,1.384164483911084,1.4417214690022668,1.4503095837448912,1.4101596446573306,60.0,9.97707986831665,0.0
26,2.0,6.0,6.0,8.0,1.41881423088827,1.4408534884420783,1.4064681817595666,1.4729909896901603,60.0,10.919974088668823,0.0
27,2.0,6.0,6.0,10.0,1.3805426482121885,1.4470821492868908,1.4885654178207526,1.4745928805663608,60.0,13.564474821090698,0.0
28,2.0,6.0,6.0,11.0,1.4562919735730135,1.4366004601606235,1.4581733915828792,1.5427490848551557,60.0,10.618700981140137,0.0
29,2.0,6.0,6.0,16.0,1.5101300950480436,1.4376230391448157,1.2934915243171137,1.5944824190314948,60.0,15.02895998954773,0.0
30,mean,6.0,6.0,10.633333333333333,1.4237396723495102,1.4390414202694575,1.4778525169307222,1.517155481751178,60.0,12.183971548080445,0.0
31,std,0.0,0.0,2.7865369179128856,0.06714330708164894,0.0057825812268903765,0.0759506772686833,0.06836619477637697,0.0,1.945877306453052,0.0
32,0.0,6.0,6.0,11.0,1.5292824019374749,1.4361359840481187,1.530551367367121,1.5885580726573776,60.0,12.610547065734863,1.0
33,0.0,6.0,6.0,9.0,1.407949483789612,1.4432824656077157,1.5457625241725261,1.5151245661693649,60.0,10.872323036193848,1.0
34,0.0,6.0,6.0,12.0,1.4453543543410197,1.4414046815964363,1.5191339929108152,1.593879495280406,60.0,14.4007408618927,1.0
35,0.0,6.0,6.0,11.0,1.4662742834979205,1.4334307789089202,1.5518323631546875,1.5688029079534673,60.0,12.176798105239868,1.0
36,0.0,6.0,6.0,10.0,1.2715754142807094,1.450052869009208,1.5229948276770244,1.410214756650664,60.0,11.100970029830933,1.0
37,0.0,6.0,6.0,8.0,1.3965933714649286,1.4440924610997536,1.4617620844114805,1.4101596446573306,60.0,10.434606075286865,1.0
38,0.0,6.0,6.0,9.0,1.407326418174378,1.4470095140366463,1.4007904773408646,1.4729909896901603,60.0,11.255280256271362,1.0
39,0.0,6.0,6.0,10.0,1.386389207517347,1.4484662442492002,1.4810602447405885,1.4745928805663608,60.0,10.907288074493408,1.0
40,0.0,6.0,6.0,7.0,1.4580792926771637,1.4370181359887164,1.465876662645497,1.5427490848551557,60.0,9.838032960891724,1.0
41,0.0,6.0,6.0,12.0,1.5185093390411142,1.4383499741672683,1.292937007977625,1.5944824190314952,60.0,12.375327110290527,1.0
42,1.0,6.0,6.0,14.0,1.5248399806365855,1.4334711233816408,1.5188606171096384,1.5885580726573776,60.0,14.084436893463135,1.0
43,1.0,6.0,6.0,11.0,1.4083252174965983,1.4384788751756166,1.5470879084630882,1.5151245661693649,60.0,11.888052940368652,1.0
44,1.0,6.0,6.0,11.0,1.4486387702434487,1.4375843321778836,1.5102240258290782,1.593879495280406,60.0,11.876994132995605,1.0
45,1.0,6.0,6.0,7.0,1.4700658290234896,1.4405878358783075,1.5537230245899367,1.5688029079534673,60.0,9.31964111328125,1.0
46,1.0,6.0,6.0,7.0,1.2706154051842415,1.456451491248051,1.5222957235339514,1.410214756650664,60.0,8.339426040649414,1.0
47,1.0,6.0,6.0,9.0,1.3955233503253153,1.4439452712945193,1.4612351783102504,1.4101596446573306,60.0,10.267466068267822,1.0
48,1.0,6.0,6.0,8.0,1.4085206459063722,1.4479258969101065,1.4003073646827624,1.4729909896901603,60.0,10.627429962158203,1.0
49,1.0,6.0,6.0,16.0,1.3860320858630208,1.448569289439327,1.4795894025246428,1.4745928805663608,60.0,13.894277095794678,1.0
50,1.0,6.0,6.0,15.0,1.464524627734137,1.4418626373507502,1.4518490802536672,1.5427490848551557,60.0,14.640476942062378,1.0
51,1.0,6.0,6.0,10.0,1.5198113078118218,1.4383646408597768,1.29287292461047,1.5944824190314952,60.0,11.113656044006348,1.0
52,2.0,6.0,6.0,10.0,1.525487333541848,1.433878880503094,1.520120169513037,1.5885580726573776,60.0,12.909852981567383,1.0
53,2.0,6.0,6.0,15.0,1.4094264740310178,1.4443958658709422,1.5508404366107384,1.5151245661693649,60.0,14.66286826133728,1.0
54,2.0,6.0,6.0,11.0,1.4459228877942747,1.44033852532362,1.5172288061831034,1.593879495280406,60.0,12.581332921981812,1.0
55,2.0,6.0,6.0,8.0,1.466228756928283,1.4344591928917756,1.5511079405370858,1.5688029079534673,60.0,9.450428009033203,1.0
56,2.0,6.0,6.0,8.0,1.2702950268430524,1.4513873656666971,1.521397405254433,1.410214756650664,60.0,9.554565906524658,1.0
57,2.0,6.0,6.0,13.0,1.4015738751029998,1.4454605408480659,1.4647569280619832,1.4101596446573306,60.0,13.814444780349731,1.0
58,2.0,6.0,6.0,13.0,1.4107579776694468,1.4490545513237014,1.4001073234706354,1.4729909896901603,60.0,13.424744129180908,1.0
59,2.0,6.0,6.0,16.0,1.381448964414612,1.4448910926620755,1.4669954449260105,1.4745928805663608,60.0,15.061239004135132,1.0
60,2.0,6.0,6.0,9.0,1.4691765872252653,1.4462253374902145,1.4507009941899207,1.5427490848551557,60.0,10.38808298110962,1.0
61,2.0,6.0,6.0,8.0,1.5349481362860706,1.4488250388383983,1.2947502398240247,1.5944824190314952,60.0,10.646634101867676,1.0
62,mean,6.0,6.0,10.6,1.429983226892785,1.4428466964615514,1.4749584163625564,1.5171554817511785,60.0,11.817265462875366,1.0
63,std,0.0,0.0,2.6847889961825655,0.06980699615445268,0.005815542062459741,0.07581029060050432,0.06836619477637694,0.0,1.825660915838857,0.0
64,0.0,6.0,6.0,8.0,1.5212594762871363,1.4321860517958933,1.5048909899827445,1.5885580726573778,60.0,10.507495164871216,2.0
65,0.0,6.0,6.0,10.0,1.4073909538301597,1.4399976859873145,1.546884401166541,1.5151245661693649,60.0,11.64824914932251,2.0
66,0.0,6.0,6.0,7.0,1.4514737493258587,1.4366497047866154,1.504989433309803,1.593879495280406,60.0,9.695321798324585,2.0
67,0.0,6.0,6.0,14.0,1.465946689985084,1.4360201489091098,1.5528728955413398,1.5688029079534673,60.0,13.394927740097046,2.0
68,0.0,6.0,6.0,7.0,1.2698047094086617,1.4527763395120574,1.5224583792055109,1.410214756650663,60.0,9.667601823806763,2.0
69,0.0,6.0,6.0,7.0,1.3994795695652738,1.4451602143841444,1.4632576497835965,1.4101596446573306,60.0,9.722448110580444,2.0
70,0.0,6.0,6.0,12.0,1.4079184662793445,1.4473772919265135,1.4009342893778307,1.4729909896901603,60.0,12.327924013137817,2.0
71,0.0,6.0,6.0,7.0,1.3936909056118667,1.4521436031882153,1.4914773472760212,1.4745928805663608,60.0,9.001212120056152,2.0
72,0.0,6.0,6.0,10.0,1.4587292118550514,1.4372118567894498,1.4663313400984135,1.5427490848551557,60.0,10.811799049377441,2.0
73,0.0,6.0,6.0,7.0,1.5345285338615546,1.4485708503757617,1.2965637078996088,1.5944824190314952,60.0,10.033341884613037,2.0
74,1.0,6.0,6.0,14.0,1.522166760860871,1.4326506111830861,1.5089293202669452,1.5885580726573778,60.0,14.890742063522339,2.0
75,1.0,6.0,6.0,13.0,1.407631262766177,1.4416478120719083,1.5483826882073308,1.5151245661693649,60.0,14.113537073135376,2.0
76,1.0,6.0,6.0,7.0,1.444163594752149,1.440698980508027,1.5218786068856163,1.593879495280406,60.0,10.086918830871582,2.0
77,1.0,6.0,6.0,14.0,1.4651415882783234,1.435914165167886,1.5489990179154725,1.5688029079534673,60.0,13.59844183921814,2.0
78,1.0,6.0,6.0,7.0,1.27151203190981,1.4515422256232475,1.5229885298460843,1.410214756650664,60.0,9.225122690200806,2.0
79,1.0,6.0,6.0,9.0,1.3870371680304727,1.4432278145528,1.4565068535068184,1.4101596446573306,60.0,11.016546249389648,2.0
80,1.0,6.0,6.0,9.0,1.4084653700683292,1.4477171028023896,1.400863477705775,1.4729909896901603,60.0,11.06845998764038,2.0
81,1.0,6.0,6.0,8.0,1.3855595454460061,1.4439017807548458,1.4680618935607186,1.4745928805663608,60.0,9.186551094055176,2.0
82,1.0,6.0,6.0,10.0,1.458513534071166,1.4371798274090923,1.4691869739739103,1.5427490848551557,60.0,10.663161039352417,2.0
83,1.0,6.0,6.0,7.0,1.5273116095154584,1.4429935605175834,1.2933806277481905,1.5944824190314948,60.0,8.730510950088501,2.0
84,2.0,6.0,6.0,8.0,1.527242410260059,1.4362250940873824,1.5285947194154765,1.5885580726573776,60.0,11.298455953598022,2.0
85,2.0,6.0,6.0,11.0,1.4089342687666293,1.443269755260881,1.5492569836888632,1.5151245661693649,60.0,14.136137962341309,2.0
86,2.0,6.0,6.0,11.0,1.4449058716262444,1.4404528946205453,1.5192405448228237,1.593879495280406,60.0,11.981819152832031,2.0
87,2.0,6.0,6.0,11.0,1.4650075119476142,1.435095785414009,1.5431093912605767,1.5688029079534673,60.0,11.178380012512207,2.0
88,2.0,6.0,6.0,8.0,1.2707438821069739,1.4509953475768507,1.5254768838910133,1.4102147566506635,60.0,10.141792297363281,2.0
89,2.0,6.0,6.0,12.0,1.416436968976578,1.4514974023261376,1.473198078426293,1.4101596446573306,60.0,12.653918027877808,2.0
90,2.0,6.0,6.0,14.0,1.405686535705457,1.4463219676472534,1.400898806405001,1.4729909896901603,60.0,15.128072023391724,2.0
91,2.0,6.0,6.0,7.0,1.3864863681453639,1.4461899542656886,1.4767974602179428,1.4745928805663608,60.0,8.915822744369507,2.0
92,2.0,6.0,6.0,7.0,1.4608577365963016,1.4390066024000279,1.458273637725396,1.5427490848551557,60.0,9.014840841293335,2.0
93,2.0,6.0,6.0,7.0,1.5214362786469415,1.4392393549702212,1.2937440299746048,1.5944824190314952,60.0,8.687686204910278,2.0
94,mean,6.0,6.0,9.433333333333334,1.429848752149564,1.442462059560498,1.4752809653028758,1.517155481751178,60.0,11.084241263071696,2.0
95,std,0.0,0.0,2.5545344453421133,0.06970793359114373,0.005758112423413637,0.07514535842424143,0.06836619477637698,0.0,1.9196788994258545,0.0
96,0.0,6.0,6.0,9.0,1.520604284578621,1.4319967015340163,1.5026133716701147,1.5885580726573776,60.0,10.960005044937134,3.0
97,0.0,6.0,6.0,7.0,1.4090417760114742,1.4419793363496256,1.5495594440741052,1.515124566169365,60.0,9.722361087799072,3.0
98,0.0,6.0,6.0,9.0,1.4499673382779095,1.437307272425443,1.5091533489424866,1.593879495280406,60.0,12.147703170776367,3.0
99,0.0,6.0,6.0,9.0,1.4650583342363832,1.435817903841167,1.551307965127595,1.5688029079534673,60.0,11.144760131835938,3.0
100,0.0,6.0,6.0,9.0,1.2689313497258234,1.4533467380530019,1.5219145474673617,1.4102147566506635,60.0,10.96390414237976,3.0
101,0.0,6.0,6.0,13.0,1.4250314760434497,1.454085302188509,1.4836947336753752,1.4101596446573306,60.0,17.436026096343994,3.0
102,0.0,6.0,6.0,7.0,1.4142328005228229,1.4522554529483354,1.4030676149095325,1.4729909896901603,60.0,15.35900092124939,3.0
103,0.0,6.0,6.0,10.0,1.3840267193114146,1.4464259833363131,1.473430365995754,1.4745928805663608,60.0,16.54777693748474,3.0
104,0.0,6.0,6.0,7.0,1.4608028584197823,1.4388499128506114,1.4596448974507361,1.5427490848551557,60.0,14.789411067962646,3.0
105,0.0,6.0,6.0,7.0,1.535927796376904,1.4504633736574164,1.2987607409059818,1.5944824190314948,60.0,15.107484817504883,3.0
