,exper_num,sequenc_len,num_lstm_units,n_epochs,weighted_mse_test,weighted_mse_train,weighted_mse_val,weighted_mse_test_const,batch_size,duration,missing_feature
0,0.0,6.0,6.0,15.0,1.4445081554085122,1.3078578989117322,1.6092634513618504,1.4007732047812806,60.0,14.636756896972656,0.0
1,0.0,6.0,6.0,12.0,1.2879993713613194,1.317624825379494,1.3587306226068026,1.3341523757417968,60.0,12.974252939224243,0.0
2,0.0,6.0,6.0,18.0,1.3039488758038766,1.3186011646459828,1.265509174924472,1.3962999996108476,60.0,16.066412925720215,0.0
3,0.0,6.0,6.0,8.0,1.2697561272256328,1.3235452894262354,1.2094077530191711,1.3523775876501285,60.0,9.657684087753296,0.0
4,0.0,6.0,6.0,12.0,1.3223551718992461,1.3237439013705776,1.1334241853031009,1.40142289826165,60.0,13.84366512298584,0.0
5,0.0,6.0,6.0,7.0,1.34241675941112,1.3150994227389114,1.3380747357959175,1.3746373254152282,60.0,11.1886887550354,0.0
6,0.0,6.0,6.0,9.0,1.3925799863952344,1.3116780546784044,1.2599056533231623,1.4202221616615216,60.0,10.353636980056763,0.0
7,0.0,6.0,6.0,15.0,1.3589694264740306,1.3107114264720374,1.4791758678551135,1.370648014878981,60.0,14.456402063369751,0.0
8,0.0,6.0,6.0,9.0,1.3282054081616799,1.3199121821648019,1.1637502917182967,1.3762232487849138,60.0,10.72984004020691,0.0
9,0.0,6.0,6.0,8.0,1.2432707827350873,1.3237440266639238,1.2380615754903437,1.3036720452144677,60.0,9.745704889297485,0.0
10,1.0,6.0,6.0,19.0,1.4239486897694094,1.3008129498699204,1.5850061379405604,1.4007732047812806,60.0,18.413930892944336,0.0
11,1.0,6.0,6.0,17.0,1.2888298751436442,1.319125263462645,1.3649909876107496,1.3341523757417968,60.0,15.242317199707031,0.0
12,1.0,6.0,6.0,13.0,1.2998133794404458,1.3220409551470422,1.2777502097134945,1.3962999996108476,60.0,12.802001237869263,0.0
13,1.0,6.0,6.0,9.0,1.2720480345507421,1.3224224088998306,1.2107964385841437,1.3523775876501285,60.0,11.424496173858643,0.0
14,1.0,6.0,6.0,8.0,1.30891011526294,1.3228429250669762,1.1210649249179085,1.40142289826165,60.0,9.3680419921875,0.0
15,1.0,6.0,6.0,7.0,1.339364233664597,1.3145676782823765,1.3359675187812103,1.3746373254152282,60.0,8.810382843017578,0.0
16,1.0,6.0,6.0,9.0,1.402951522417849,1.3167392788712258,1.249768271153433,1.420222161661522,60.0,10.275008916854858,0.0
17,1.0,6.0,6.0,15.0,1.3554457682744543,1.309153933042468,1.4763619802660406,1.370648014878981,60.0,14.92103099822998,0.0
18,1.0,6.0,6.0,13.0,1.3348224442721799,1.3267332246468795,1.1375864949861676,1.3762232487849138,60.0,13.644639253616333,0.0
19,1.0,6.0,6.0,8.0,1.2440685316976727,1.326507604269962,1.2379579583105509,1.3036720452144677,60.0,10.947808980941772,0.0
20,2.0,6.0,6.0,12.0,1.4281862692793403,1.3017769520328677,1.59082759667631,1.4007732047812806,60.0,12.743422985076904,0.0
21,2.0,6.0,6.0,8.0,1.2896539243006186,1.3181356096219776,1.3608866965564372,1.3341523757417968,60.0,9.623128175735474,0.0
